number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
109,0.8318079096045198,2025-12-06 16:13:16.997361,2025-12-06 16:13:18.916694,0 days 00:00:01.919333,0.6846783154172351,0.11456777930783488,3,240,0.9801304509218661,COMPLETE
110,0.8137664783427495,2025-12-06 16:13:18.916770,2025-12-06 16:13:21.804876,0 days 00:00:02.888106,0.5003407933649197,0.09851997690347057,7,212,0.5794125036139337,COMPLETE
111,0.8307156308851223,2025-12-06 16:13:21.804975,2025-12-06 16:13:23.477096,0 days 00:00:01.672121,0.6503915190231011,0.10560953840491537,3,203,0.9547380622869457,COMPLETE
112,0.8294161958568739,2025-12-06 16:13:23.477208,2025-12-06 16:13:24.230267,0 days 00:00:00.753059,0.5696134132275004,0.07035333187899284,3,67,0.9660500162495502,COMPLETE
113,0.8318079096045198,2025-12-06 16:13:24.230367,2025-12-06 16:13:26.013456,0 days 00:00:01.783089,0.6206824312579664,0.11924494295106465,3,209,0.972628627369818,COMPLETE
114,0.8362711864406779,2025-12-06 16:13:26.013554,2025-12-06 16:13:27.888481,0 days 00:00:01.874927,0.5806774749911323,0.0850621667303713,3,232,0.9438945962619537,COMPLETE
115,0.82954802259887,2025-12-06 16:13:27.888582,2025-12-06 16:13:29.726370,0 days 00:00:01.837788,0.5916742992100167,0.08536126253008802,3,232,0.9236411160132649,COMPLETE
116,0.8217325800376647,2025-12-06 16:13:29.726479,2025-12-06 16:13:31.930174,0 days 00:00:02.203695,0.8018039560512358,0.07045782291915605,3,253,0.9413920480124031,COMPLETE
117,0.8295103578154426,2025-12-06 16:13:31.930284,2025-12-06 16:13:33.832871,0 days 00:00:01.902587,0.98539871751021,0.05703535156869351,3,220,0.9931176894082332,COMPLETE
118,0.8318644067796611,2025-12-06 16:13:33.832970,2025-12-06 16:13:35.465665,0 days 00:00:01.632695,0.6401542822970174,0.15789211198921052,3,200,0.9516758765850115,COMPLETE
119,0.8296045197740115,2025-12-06 16:13:35.465763,2025-12-06 16:13:37.664143,0 days 00:00:02.198380,0.6230066059210196,0.15028114125796363,4,227,0.9816057789261438,COMPLETE
120,0.8284557438794729,2025-12-06 16:13:37.664243,2025-12-06 16:13:39.548773,0 days 00:00:01.884530,0.5788476822483314,0.14280370743930826,3,234,0.9915297371548075,COMPLETE
121,0.8296045197740114,2025-12-06 16:13:39.548882,2025-12-06 16:13:41.303795,0 days 00:00:01.754913,0.5499113242029459,0.13292852107748657,3,216,0.9604487388313159,COMPLETE
