number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
127,0.8349529190207157,2025-11-22 19:00:32.427693,2025-11-22 19:00:36.078369,0 days 00:00:03.650676,0.018075550239635637,4,135,194,COMPLETE
128,0.8282485875706215,2025-11-22 19:00:36.078530,2025-11-22 19:00:42.598281,0 days 00:00:06.519751,0.017826447795100602,10,112,193,COMPLETE
129,0.8293032015065915,2025-11-22 19:00:42.598413,2025-11-22 19:00:47.355242,0 days 00:00:04.756829,0.016327566975150427,5,134,187,COMPLETE
130,0.8259887005649719,2025-11-22 19:00:47.355341,2025-11-22 19:00:52.519240,0 days 00:00:05.163899,0.06161251750442589,4,170,190,COMPLETE
131,0.832693032015066,2025-11-22 19:00:52.519392,2025-11-22 19:00:56.708179,0 days 00:00:04.188787,0.012429712182547424,4,152,194,COMPLETE
132,0.8260451977401131,2025-11-22 19:00:56.708333,2025-11-22 19:00:59.697821,0 days 00:00:02.989488,0.011645046497262458,4,102,197,COMPLETE
133,0.8338229755178909,2025-11-22 19:00:59.697951,2025-11-22 19:01:03.179277,0 days 00:00:03.481326,0.014074445769703445,4,136,188,COMPLETE
134,0.8304708097928437,2025-11-22 19:01:03.179410,2025-11-22 19:01:06.269708,0 days 00:00:03.090298,0.014336236830071616,4,131,182,COMPLETE
135,0.8293032015065914,2025-11-22 19:01:06.269848,2025-11-22 19:01:08.824310,0 days 00:00:02.554462,0.07549319951832861,3,175,189,COMPLETE
136,0.8293408662900189,2025-11-22 19:01:08.824427,2025-11-22 19:01:12.275639,0 days 00:00:03.451212,0.06769481777344014,5,138,200,COMPLETE
137,0.8338229755178908,2025-11-22 19:01:12.275779,2025-11-22 19:01:16.521919,0 days 00:00:04.246140,0.013706656361575448,4,160,148,COMPLETE
138,0.8282297551789078,2025-11-22 19:01:16.522036,2025-11-22 19:01:21.829538,0 days 00:00:05.307502,0.020104007456182574,4,212,151,COMPLETE
139,0.8148022598870058,2025-11-22 19:01:21.829635,2025-11-22 19:01:24.291451,0 days 00:00:02.461816,0.018311172755403327,3,163,145,COMPLETE
140,0.8282297551789078,2025-11-22 19:01:24.291591,2025-11-22 19:01:28.897206,0 days 00:00:04.605615,0.014292875131402408,5,124,162,COMPLETE
141,0.831581920903955,2025-11-22 19:01:28.897340,2025-11-22 19:01:34.445708,0 days 00:00:05.548368,0.013340996286158176,4,181,194,COMPLETE
142,0.833804143126177,2025-11-22 19:01:34.445841,2025-11-22 19:01:38.502860,0 days 00:00:04.057019,0.013387721353408212,4,157,137,COMPLETE
143,0.8349529190207157,2025-11-22 19:01:38.502992,2025-11-22 19:01:42.687399,0 days 00:00:04.184407,0.015408821739929423,4,163,139,COMPLETE
144,0.8326741996233522,2025-11-22 19:01:42.687504,2025-11-22 19:01:46.063025,0 days 00:00:03.375521,0.016896127233549958,4,110,146,COMPLETE
145,0.8305273069679849,2025-11-22 19:01:46.063154,2025-11-22 19:01:50.205961,0 days 00:00:04.142807,0.01618745000134144,4,162,134,COMPLETE
146,0.8293785310734464,2025-11-22 19:01:50.206122,2025-11-22 19:01:55.684388,0 days 00:00:05.478266,0.0148076625353578,4,206,139,COMPLETE
147,0.8327118644067798,2025-11-22 19:01:55.684524,2025-11-22 19:02:02.997408,0 days 00:00:07.312884,0.014177970799651553,4,138,155,COMPLETE
148,0.8136911487758947,2025-11-22 19:02:02.997527,2025-11-22 19:02:13.864832,0 days 00:00:10.867305,0.010435844441009617,5,136,155,COMPLETE
149,0.8126177024482111,2025-11-22 19:02:13.864944,2025-11-22 19:02:15.632595,0 days 00:00:01.767651,0.013647043301514164,3,114,150,COMPLETE
